f_name,dir_path,create_dt,modified_dt
sas_script_3.sas,test_data,2023-06-12T09:28:28.428767,2023-06-12T09:28:28.428767
sas_script_2.sas,test_data,2023-06-12T15:15:29.947480,2023-06-12T15:15:29.947480
sas_script_1.sas,test_data,2023-06-12T09:28:28.428188,2023-06-12T09:28:28.428188
sas_script_4.sas,test_data,2023-06-12T09:28:28.429096,2023-06-12T09:28:28.429096
sas_script_d1.sas,test_data/deeper_test_data,2023-06-12T15:14:39.644453,2023-06-12T15:14:39.644453
